"Front","Back","Tags"
"Jaký je nejzávažnější handicap sluchového postižení a klíčová hranice?","Nejzávažnějším sekundárním handicapem je KOMUNIKAČNÍ BARIÉRA (porucha rozvoje mluvené řeči — porozumění i aktivní projev). Hranice přijatelné sluchové funkce nezbytné pro osvojení mluvené řeči je v pásmu STŘEDNĚ TĚŽKÉ NEDOSLÝCHAVOSTI (60–70 dB). Sluchové postižení vede k podnětové deprivaci. — Zdroj: Vágnerová kap.8.5, STR.67","pripad7 surdopedie definice"
"Jaké dva jazykové systémy mohou sluchově postižení užívat?","1) Znakový jazyk — využívá zrakové vnímání, má vlastní gramatiku (jiný slovosled, neskloňuje), výhodný hlavně pro prelingválně postižené, ale činí z nich minoritu. 2) Artikulovaná (orální) řeč — využívá zbytky sluchu a odezírání; výuka je velmi obtížná. Důležité: prelingvální (před osvojením řeči) × postlingvální (po něm) vada. — Zdroj: Vágnerová STR.67–68","pripad7 surdopedie klasifikace-komunikace"
"Jak se sluchové postižení projevuje v řeči a poznávání?","Omezená slovní zásoba, nepřesné používání a záměny slov, hlavně potíže s významem slov v kontextu. Gramatika: nesprávné tvary, nedodržení slovosledu, zjednodušený projev. Čtení/psaní: mechanické čtení bez pochopení smyslu. Myšlení vázané na konkrétní realitu (obtížná abstrakce). Nutná zvýšená koncentrace → únava. — Zdroj: Vágnerová STR.68–69","pripad7 surdopedie projevy"
"Etiologie u případu 7 — bio/psycho/sociál?","BIO = hlavní: porucha sluchového analyzátoru → podnětová deprivace, omezený přísun řečových podnětů → chudá slovní zásoba. PSYCHO = modifikátor: komunikace je trvalý stres (zvýšená koncentrace, nejistota) → úzkost, zkratkovité reakce. SOCIÁL = modifikátor: nepříznivé reakce okolí, izolace. SPIRITUÁL ⚠️ = respekt k odlišné komunikaci, ne etiologie. — Zdroj: Vágnerová STR.67–69","pripad7 surdopedie etiologie"
"Případ 7: NEJDŮLEŽITĚJŠÍ odlišení — chudá slovní zásoba?","Chudá slovní zásoba a neznalost pojmů jsou DŮSLEDKEM sluchové vady (vázne přísun a kontrola řeči), NE projevem mentální retardace! Intelekt je v normě. U MR je postižena celá kognice; zde je problém jen přístup k jazyku. Také odlišit od vývojové dysfázie (porucha řeči při zachovaném sluchu). — Zdroj: Vágnerová STR.67–68","pripad7 surdopedie diferenciace-kontext-pripadu"
"Surdopedie — čeho se VYVAROVAT?","Nezaměňovat chudou slovní zásobu za sníženou inteligenci (nesnižovat nároky „jako u MR""). Nemluvit zády/rychle/bez zrakového kontaktu (znemožní odezírání). Nespěchat a neopakovat stejnými dlouhými větami (radši přeformulovat krátce). Nevykládat impulzivní reakce jako „drzost"" (je to nezvládnutá zátěž). Nenechat dítě izolované bez podpory. — Zdroj: Vágnerová STR.67–69","pripad7 surdopedie terapie-vyvarovat-se"
"Surdopedie — na čem PRACOVAT?","Cílený rozvoj slovní zásoby a významů slov (vč. významu v kontextu). Vizuální komunikace — zrakový kontakt, odezírání, podpora obrázky/textem, dle potřeby znakový jazyk. Pravidla pro slyšící: pomalá zřetelná artikulace, čelem k dítěti, krátké jednoznačné věty, ověřovat porozumění. Sluchadla / kochleární implantát. Asistentka + IVP se SPC. — Zdroj: Vágnerová STR.68; Horáková ⚠️","pripad7 surdopedie terapie-pracovat-na"
"Případ 7: jak číst impulzivní reakce a roli komunikace?","Pro sluchově postiženého je i běžná komunikace STRESEM (nutnost zvýšené koncentrace, nejistota v porozumění). Napětí zvyšuje úzkost a sklon k afektivním/zkratkovým reakcím — výraz nezvládnuté zátěžové situace, ne „zlobení"". Mimika a pantomimika jsou pro něj důležitým komunikačním kanálem. — Zdroj: Vágnerová STR.68–69","pripad7 surdopedie kontext-pripadu"
"Případ 7: s kým / čím propojit (organizace, odborníci v ČR)?","SPC pro sluchově postižené (už v péči — dg., IVP, asistent pedagoga), foniatr/audiolog (sluchadla, kochleární implantát), klinický logoped/surdoped (rozvoj řeči), Centrum pro dětský sluch Tamtam (raná péče, poradenství), Česká unie neslyšících / SNN ČR (komunita, znakový jazyk). ⚠️ ověřit aktuálnost. — Zdroj: bibliografie.md ⚠️ ověřit","pripad7 organizace propojeni"
"Co je dětská mozková obrna (DMO) a jaká je její hlavní příčina?","VROZENÉ (resp. raně získané) postižení s hlavním příznakem poruchy MOTORIKY — postižení volních pohybů. Příčinou je prenatální, perinatální nebo postnatální poškození CNS, které se projeví do 5. roku života (např. asfyxie). Postihuje 0,1–2 % dětí. Bývá často kombinována s dalšími poruchami (zrak, sluch, řeč, intelekt, epilepsie). — Zdroj: Vágnerová kap.7.1, STR.41","pripad8 somatopedie definice"
"Formy DMO a co je kvadruparéza?","Spastická/hypertonická (70 %, zvýšené napětí) · hypotonická (přechodná) · atetoidní/dyskinetická (~20 %, mimovolní kroutivé pohyby) · mozečková (~10 %, porucha koordinace). Kvadruparéza/kvadruplegie = postižení VŠECH ČTYŘ končetin; bývá postižena i hybnost mluvidel (→ dysartrie) a častěji kombinována s poruchou inteligence. — Zdroj: Vágnerová STR.41","pripad8 somatopedie formy"
"Jak se DMO projevuje (motorika, řeč, emoce)?","Motorika: postižení volních pohybů, u kvadruparézy všechny končetiny → vozík. Řeč: dysartrie (postižení mluvidel). Pozornost ulpívavá, nevýběrová, snadná unavitelnost. Emoce se promítají do motoriky (ztuhnutí, více záškubů), bývají infantilnější, labilnější. Inteligence porušena ve 30–50 % — ale NE vždy. — Zdroj: Vágnerová STR.41–43","pripad8 somatopedie projevy"
"DMO jako VROZENÉ postižení — co z toho plyne (× získané)?","Vrozené postižení ovlivňuje VÍCE celý vývoj jedince, ALE subjektivně není tak traumatizující — dítě je na omezení zvyklé od dětství, neumí si představit život bez něj. Naproti tomu později získané postižení (úraz, případ 14) = větší psychické trauma, protože člověk ví, co ztratil. — Zdroj: Vágnerová STR.57","pripad8 somatopedie etiologie-vrozene-ziskane"
"Případ 8: proč je chybou hodnotit dívku s DMO jako mentálně retardovanou?","TĚLESNÉ POSTIŽENÍ ≠ SNÍŽENÝ INTELEKT. Nápadný vzhled, vozík a dysartrie (těžko srozumitelná řeč) budí u laiků dojem mentálního defektu, přestože inteligence u DMO nemusí být poškozena (často není, někdy je i nadprůměrná). Pohybově postižení mohou při zachovaném intelektu dosahovat dobrých studijních výsledků. — Zdroj: Vágnerová STR.42–43, 70","pripad8 somatopedie diferenciace"
"Terapie DMO (případ 8) — čeho se VYVAROVAT?","Nepodceňovat intelekt kvůli vzhledu/dysartrii. Nepodporovat hyperprotektivitu a vynucenou nesamostatnost (udržuje pasivitu a závislost). Nepřetěžovat tak, že napětí zvyšuje spasticitu a mimovolní záškuby. Neizolovat. Nezužovat výchovu jen na zdraví a školní úspěch (chyba „Dáši“ u Vágnerové). — Zdroj: Vágnerová STR.42, 70","pripad8 somatopedie terapie-vyvarovat-se"
"Terapie DMO (případ 8) — na čem PRACOVAT?","Soběstačnost a lokomoce (kompenzační pomůcky, elektrický vozík, nácvik sebeobsluhy — samostatnost = pokrok i v poznávání). Logopedie na dysartrii, příp. AAK. Vzdělávání přiměřené intelektu. Podpora tělesného sebepojetí a identity v adolescenci. Práce s rodinou — vyvážit péči a osamostatňování. — Zdroj: Vágnerová STR.41–42, 70","pripad8 somatopedie terapie-pracovat-na"
"Případ 8: jak vyložit elektrický vozík a rodinnou situaci (matka + otčím, otec telefonicky)?","Elektrický vozík = kompenzace lokomoce u spastické kvadruparézy → osvobozuje z vazby na prostor a snižuje závislost na druhých. Klíčová je soběstačnost (lokomoce + sebeobsluha). Rodina je zdrojem citového zázemí v adolescenci; podporovat i kontakt s biologickým otcem a vyvažovat péči s osamostatňováním. — Zdroj: Vágnerová STR.42, 70","pripad8 somatopedie kontext-pripadu"
"Případ 8: s kým / čím propojit (organizace, odborníci v ČR)?","SPC pro tělesné postižení (IVP, asistent pedagoga). Fyzioterapeut/ergoterapeut (rehabilitace, polohování, pomůcky). Klinický logoped (dysartrie, AAK). CEREBRUM, Liga vozíčkářů (poradenství, pomůcky). Sociální odbor / příspěvek na péči (dávky, financování vozíku). — Zdroj: bibliografie.md ⚠️ ověřit aktuálnost","pripad8 organizace propojeni"
"Co je Downův syndrom a jaký stupeň MR způsobuje?","Nejčastější MR z chromozomální odchylky = TRIZOMIE 21. chromozomu (změna počtu chromozomů). Typický habitus (na první pohled tělesně odlišní). Mentální defekt bývá rovnoměrnější, na HRANICI LEHČÍHO AŽ STŘEDNĚ TĚŽKÉHO stupně. Down = etiologie, ne samostatný kód MKN. — Zdroj: Vágnerová STR.79, 11","pripad9 psychopedie definice"
"Downův syndrom — typický habitus a somatické znaky?","Epikantus (zešikmení očních štěrbin), malý knoflíkovitý nos, velký jazyk, krátké ruce a nohy. Časté bývají vrozené srdeční vady → nutná pediatrická/kardiologická péče (ovlivňuje i učení a řeč). — Zdroj: Vágnerová STR.11","pripad9 psychopedie somatika-habitus"
"Jaké jsou typické psychické a behaviorální projevy u Downova syndromu?","Klidní až bradypsychičtí (zpomalené tempo), těžkopádní a ulpívaví, ALE emocionálně dobře ladění a přizpůsobiví, bez větších výkyvů v chování. Učí se sice pomalu, ale dovedou své schopnosti využít. V dospělosti pracují pod dohledem a vedením. — Zdroj: Vágnerová STR.79","pripad9 psychopedie projevy"
"Downův syndrom — odkud bere dítě geny, jsou rodiče postižení?","Většina dětí s Downovým syndromem má ZDRAVÉ rodiče — nejde o klasickou rodinnou dědičnost, ale o chromozomální aberaci (nadbytečný 21. chromozom) u dítěte. Rodinné prostředí proto bývá dostatečně, občas až nadměrně stimulující. — Zdroj: Vágnerová STR.79, 78","pripad9 psychopedie etiologie"
"Downův syndrom × demence × pseudooligofrenie — jak odlišit?","Down/MR = VROZENÁ (trizomie 21), CNS narušena, rozvoj pomalý ale využitelný. Demence = ZÍSKANÝ úbytek dříve normálního rozumu (zhoršuje se). Pseudooligofrenie = ze zanedbanosti, CNS bez narušení, zlepšitelná v lepším prostředí (NENÍ MR). — Zdroj: Vágnerová STR.77, 78","pripad9 psychopedie diferenciace"
"Down (případ 9) — čeho se ve škole VYVAROVAT?","Nepřetěžovat (nesrozumitelné nároky = stres → obranné reakce). Nevyžadovat samostatnou práci bez dohledu — dítě ji nezvládne; respektovat zpomalené tempo. Nepoužívat ironii/metafory/složité instrukce. Nepřeceňovat dítě jen kvůli příznivému temperamentu. Nezanedbat somatiku (srdce, sluch, zrak). — Zdroj: Vágnerová STR.79, 80, 11","pripad9 psychopedie terapie-vyvarovat-se"
"Down (případ 9) — na čem ve škole PRACOVAT?","Klidné, stabilní, srozumitelné prostředí + stereotyp a režim. Stálý dohled a vedení, krátké jasné kroky, IVP/asistent. Citová jistota (vztah s pečující osobou = motivace). Trpělivý nácvik dovedností (schopnosti dovede využít). Pozitivní hodnocení/pochvala. Logopedie + AAK na vývoj řeči. — Zdroj: Vágnerová STR.79, 81, 82–83","pripad9 psychopedie terapie-pracovat-na"
"Případ 9: jak vyložit „opožděný vývoj řeči"" a „nepracuje samostatně, potřebuje stálý dohled""?","Opožděný vývoj řeči = řeč postižena povahou MR (agramatismy, krátké věty, chudá slovní zásoba) i tělesně (velký jazyk, koordinace mluvidel) → logopedie + AAK. „Stálý dohled"" odpovídá tomu, že lidé s Downem pracují pod dohledem a vedením — není to trest, samostatnost se rozvíjí postupně. — Zdroj: Vágnerová STR.79, 80","pripad9 psychopedie kontext-pripadu"
"Případ 9: s kým / čím propojit (organizace, odborníci v ČR)?","SPC (diagnostika, IVP), ZŠ speciální, klinický logoped (vývoj řeči + AAK), pediatr/genetika/kardiologie (trizomie, srdeční vady), SPMP ČR (podpora rodin), sociální odbor (příspěvek na péči). — Zdroj: bibliografie.md ⚠️ ověřit aktuálnost","pripad9 organizace propojeni"
"Co jsou poruchy příjmu potravy (PPP) a s čím jsou spojeny?","Porucha POSTOJE (rozumového i emočního vztahu) k jídlu a z toho vyplývající odchylka v chování. Bývají spojeny i s poruchou postoje k vlastnímu tělu — deformací TĚLOVÉHO SCHÉMATU (proporcí, hmotnosti). Postižení jsou nápadně koncentrováni na tělo (negativní vztah) i na jídlo (vztah až obsedantně-kompulzivní). — Zdroj: Vágnerová kap.16, STR.120–121","pripad10 psychologie/psychiatrie definice"
"Co je tělové schéma a jak je u PPP narušené?","Tělové schéma = představa o vlastním těle; není jen mentálním obrazem, ale zahrnuje i HODNOTÍCÍ složku a postoj. Tělo se může jevit jinak, než jaké skutečně je (subjektivní zkreslení). U PPP je vnímání narušené — dívky jsou bez ohledu na vyhublost přesvědčené, že jsou „tlusté"". Jádro poruchy je postoj k tělu, ne porucha vnímání obecně. — Zdroj: Vágnerová STR.120, 122","pripad10 psychologie/psychiatrie klicovy-pojem"
"Mentální anorexie (F50.0) × mentální bulimie (F50.2) — jádrové odlišení?","ANOREXIE: patologický strach ze ztloustnutí + ODMÍTÁNÍ potravy, úbytek o 15 % proti normě, silná vůle/perfekcionismus (zvládne hladovět), riziko ŽIVOT OHROŽUJÍCÍ (~5 % umírá). BULIMIE: neodolatelná touha → záchvaty PŘEJÍDÁNÍ, váha blízká normě, IMPULZIVITA a ztráta kontroly → zvracení/projímadla, pak vina a stud. Mohou se prolínat (30–50 % anorektiček má i záchvaty přejídání). — Zdroj: Vágnerová STR.122, 124","pripad10 psychologie/psychiatrie klasifikace-diferenciace"
"Jaké jsou příčiny PPP a která osa je primární?","Multifaktoriální — interakce DISPOZICE se zátěžovými vlivy. Na rozdíl od ADHD (případ 3) NEJSOU primární biologické příčiny. BIO = jen dispozice (genetika, hormonální změny dospívání). PRIMÁRNÍ jsou PSYCHO (perfekcionismus, nízké sebevědomí, asketický obranný mechanismus, vyhnutí ženské roli) a SOCIÁL (sociokulturní ideál štíhlosti, rodina zaměřená na výkon, vztah s matkou). — Zdroj: Vágnerová STR.121, 123–124","pripad10 psychologie/psychiatrie etiologie"
"Jsou PPP vrozené, nebo získané, a kdy je rizikové období?","PPP NEJSOU vrozená porucha — jde o ZÍSKANOU psychickou poruchu na podkladě dispozice + psychosociální zátěže. Rizikové období je DOSPÍVÁNÍ (emancipace od rodiny, přijetí ženské role). Vyvolávajícím podnětem je zátěž, s níž se dospívající nedokáže vyrovnat (změna školy, vztahy). Sedí na případ: dívka 19 let, problémy ve studiu i v soukromí. — Zdroj: Vágnerová STR.124","pripad10 psychologie/psychiatrie etiologie"
"Jak se PPP projevuje (vztah k tělu, jídlu, somatika)?","Vztah k TĚLU: nevyvratitelné „jsem tlustá"" i při vyhublosti, tělo jako cizí objekt na obtíž. Vztah k JÍDLU: obsedantně-kompulzivní rituály (počítání kalorií, skrývání potravy). Anorexie: hladovění jako „úkol"", nadměrné cvičení, LHANÍ a popírání potíží. Bulimie: tajné záchvaty + zvracení, pocity viny a studu. SOMATIKA: ztráta menstruace, snížená imunita, v krajním případě ohrožení života. — Zdroj: Vágnerová STR.121–125","pripad10 psychologie/psychiatrie projevy"
"Případ 10: jak vyložit roli matky, která „příliš nekomunikuje""?","Rizikový RODINNÝ činitel, ne okrajový detail. Vágnerová uvádí přímo případ „Šárka (14 let)"" — anorexie + problematický vztah s matkou, která zdůrazňuje obtížnost ženské role. Rodina zaměřená na výkon, rigidní vztahy a dysfunkční komunikace patří mezi primární sociální příčiny. Vztah s matkou (konflikt nezávislost × opora) je terčem rodinné terapie. — Zdroj: Vágnerová STR.123, 124","pripad10 psychologie/psychiatrie kontext-pripadu"
"PPP (případ 10) — čeho se VYVAROVAT?","NEBAGATELIZOVAT („je to hloupost/móda"") — je to nemoc. NEAPELOVAT jen na rozum a vůli (nepomáhá, plodí konflikty). Násilné krmení a zavrhování zhoršují rodinné klima. NECHVÁLIT hubnutí ani „pevnou vůli"" — schválení funguje jako posilující impulz poruchy. Nepodceňovat SOMATICKÉ riziko (může ohrozit život). — Zdroj: Vágnerová STR.123, 126","pripad10 psychologie/psychiatrie terapie-vyvarovat-se"
"PPP (případ 10) — na čem PRACOVAT a koho zapojit (ČR)?","Vedoucí: lékařská péče (psychiatrie + interna, somatická stabilizace, případně hospitalizace I PROTI VŮLI při ohrožení života) + psychoterapie (tělové schéma, sebehodnocení) + RODINNÁ terapie (komunikace s matkou) + nutriční obnova + podpora identity mimo „úkol štíhlosti"". Propojit: psychiatr ⚠️, psychoterapeut, nutriční terapeut ⚠️, Centrum Anabell ⚠️, internista, školní poradenství/PPP ⚠️. — Zdroj: Vágnerová STR.124, 126; Krch/Papežová ⚠️; bibliografie.md ⚠️","pripad10 organizace terapie-pracovat-na-propojeni"
"Co je porucha chování a jaké jsou její tři znaky?","Odchylka v oblasti SOCIALIZACE — jedinec není schopen respektovat normy chování na úrovni odpovídající jeho věku, event. svým rozumovým schopnostem. Znaky (dle DSM-IV): 1) chování NERESPEKTUJE sociální normy; 2) jedinec normy CHÁPE, ale neakceptuje je / nedokáže se jimi řídit; 3) typická je AGRESIVITA a NEPOCIŤUJE vinu (nerozvinuté svědomí). — Zdroj: Vágnerová kap.20, STR.149–150","pripad11 etopedie definice"
"KLÍČOVÉ vymezení: kdo NEMÁ poruchu chování?","O poruchu chování se NEJEDNÁ, pokud jedinec NENÍ SCHOPEN pochopit význam hodnot a norem — tj. mentálně retardovaní (případ 22) nebo lidé z jiného sociokulturního prostředí. Poruchu chování má jen ten, kdo normy CHÁPE, ale neakceptuje je nebo se jimi nedokáže řídit (jiná hodnotová hierarchie, jiné motivy, neschopnost ovládat chování). — Zdroj: Vágnerová STR.149–150","pripad11 etopedie diferenciace"
"Jak se dělí poruchy chování v dětském věku?","1) NEAGRESIVNÍ porušování sociálních norem — lži, útěky, toulání (mírnější). 2) AGRESIVNÍ poruchy chování — šikana, vandalismus, přepadávání (závažnější, protože porušují práva ostatních). Mezi typy není přesná hranice, mohou se kombinovat. O poruchách chování mluvíme obyčejně až ve STŘEDNÍM ŠKOLNÍM věku. — Zdroj: Vágnerová STR.153","pripad11 etopedie klasifikace"
"Případ 11: jak vyložit fyzické tresty od nevlastního otce (vztah k chování)?","Jde o syndrom TÝRANÉHO dítěte (CAN). KLÍČOVÉ: nevhodné chování dítěte je spíše DŮSLEDKEM týrání, NE jeho příčinou. Tělesné tresty a týrání jsou v anamnézách dětí s poruchami chování VELMI ČASTÉ. Riziko ohrožení je zvýšené v rodinách s narušenými vztahy (kritika, odmítání), kde se napětí řeší agresí — sedí na rozvod + nevlastní otec. — Zdroj: Vágnerová STR.150, 181","pripad11 etopedie kontext-pripadu"
"Co je identifikace s agresorem a role „špatného dítěte""?","Obranné mechanismy týraného dítěte. IDENTIFIKACE S AGRESOREM: dítě se začne chovat jako trýznitel (agresivně k ostatním, vyvolává konflikty) — přijetím role násilníka se zbaví pocitů bezmoci a strachu. ROLE „ŠPATNÉHO DÍTĚTE"": dítě přijme, že je trestáno oprávněně (negativní sebehodnocení), protože tak si přijatelně vysvětlí chování rodičů a uchrání iluzi rodinného zázemí. — Zdroj: Vágnerová STR.182","pripad11 etopedie klicovy-pojem"
"Jak se týrání projevuje ve škole a ve vztazích (případ 11)?","Nerespektování autority učitele (normy chápe, neakceptuje), agresivní a destruktivní tendence (identifikace s agresorem), NÍZKÁ FRUSTRAČNÍ TOLERANCE a afektivní výbuchy. GENERALIZOVANÁ nedůvěra — očekává ublížení i od neutrálních osob (učitel), špatně čte projevy lidí. Horší prospěch, než odpovídá schopnostem (chybí motivace a sebedůvěra). Vágnerová: případ Jirky a Pepíka. — Zdroj: Vágnerová STR.182–183","pripad11 etopedie projevy"
"KLÍČOVÉ ODLIŠENÍ: porucha chování (11) × ADHD (3) × MR (22) × „nevychovanost""?","PORUCHA CHOVÁNÍ: normy CHÁPE, ale neakceptuje/neřídí se (postoj, hodnoty). ADHD: porucha funkce CNS — chování NEDOKÁŽE ovládat, není to vzdor. MR: NECHÁPE význam norem (IQ < 70) → není to porucha chování. „NEVYCHOVANOST"": laický pojem, neodborné — nezohledňuje týrání jako příčinu. — Zdroj: Vágnerová STR.149–150; kap.7.2 STR.44","pripad11 etopedie diferenciace"
"Porucha chování na pozadí týrání (případ 11) — čeho se VYVAROVAT?","NEVYKLÁDAT chování jako „nevychovanost/zlobení"" — je to důsledek týrání. NEPOUŽÍVAT fyzické tresty ani tvrdou disciplínu (posilují agresi a model násilí). NEPŘEHLÍŽET týrání (ohlašovací povinnost) — jinak řešíme jen příznak. Nepotvrzovat negativní sebepojetí (kritika, ponižování). Neočekávat rychlou nápravu jen kázní — je třeba vztah a bezpečí. — Zdroj: Vágnerová STR.150, 182–183","pripad11 etopedie terapie-vyvarovat-se"
"Porucha chování na pozadí týrání (případ 11) — na čem PRACOVAT a koho zapojit (ČR)?","POŘADÍ: 1) zajistit BEZPEČÍ a ukončit týrání → 2) obnova základní DŮVĚRY a citového přijetí (kompenzační vztah k dospělému) → 3) zpracování traumatu (hra, kresba) → 4) nácvik zvládání afektů + jasná pravidla → 5) posílení sebehodnocení (proti roli „špatného dítěte""). Propojit: OSPOD ⚠️, SVP ⚠️, PPP ⚠️, dětský psycholog/psychoterapeut, Dětské krizové centrum ⚠️, Linka bezpečí ⚠️. — Zdroj: Vágnerová STR.182–183; Pipeková ⚠️; bibliografie.md ⚠️","pripad11 organizace terapie-pracovat-na-propojeni"
"Případ 12: co je kombinované (vícečetné) postižení a z čeho se zde skládá?","Kombinované postižení = souběh dvou a více postižení u jednoho člověka, vyžaduje koordinaci více oborů. Zde: DMO kvadruparéza (somatopedie) + dysartrie (logopedie) + strabismus/šilhání (oftalmopedie) + epilepsie (neurologie) + autistické projevy (psychopedie). Vágnerová: DMO bývá velmi často KOMBINOVANÁ s poruchami zraku, sluchu, řeči, rozumu a epileptickými záchvaty. — Zdroj: Vágnerová STR.41; Vítková ⚠️","pripad12 somatopedie definice"
"Případ 12: jaká je DMO forma a co z ní plyne?","Spastická (hypertonická) forma — KVADRUPARÉZA = postižení všech čtyř končetin (nejtěžší obraz, 70 % případů). U kvadruplegie bývá postižena i hybnost mluvidel → DYSARTRIE; častěji se kombinuje s poruchou inteligence. Spasticita = postižení centrálního motoneuronu. — Zdroj: Vágnerová STR.41","pripad12 somatopedie formy-typ"
"Případ 12 (KLÍČOVÉ): proč je tento případ hlavně o KOORDINACI oborů?","Jeden žák potřebuje současně somatopedii (DMO, vedoucí obor), logopedii (dysartrie), oftalmopedii (strabismus), neurologii (epilepsie) a psychopedii/psychologii (vývoj, autistické projevy). Klíčem NENÍ paralelní izolovaná péče, ale KOORDINACE týmu kolem jednoho společného plánu s vedoucím oborem somatopedie. — Zdroj: Vágnerová STR.41","pripad12 somatopedie diferenciace-jadro-pripadu"
"Jak se případ 12 projevuje (hlavní symptomy napříč složkami)?","Motorika: spastická kvadruparéza, závislost na okolí. Řeč: dysartrie (neobratná mluvidla, těžko srozumitelná řeč). Zrak: strabismus, porucha zrakového nervu/dysgnózie. Epilepsie: záchvaty s poruchou vědomí, poté únava/ospalost/amnézie. Pozornost a paměť oslabené (organické postižení). Citový prožitek se promítá do motoriky (ztuhnutí, záškuby). — Zdroj: Vágnerová STR.41–42, 46–47","pripad12 somatopedie projevy"
